millis,a_x,a_y,a_z,f
71548,-0.24,1.03,1.17,0
71552,-0.24,1.03,1.17,0
71556,-0.24,1.03,1.17,0
71561,-0.24,1.03,1.17,0
71565,-0.15,1.07,1.17,0
71569,-0.15,1.07,1.17,0
71574,-0.15,1.07,1.17,0
71578,-0.15,1.07,1.17,0
71582,-0.15,0.98,1.27,0
71587,-0.15,0.98,1.27,0
71591,-0.15,0.98,1.27,0
71595,-0.15,0.98,1.27,0
71599,-0.15,0.98,1.07,0
71604,-0.15,0.98,1.07,0
71608,-0.15,0.98,1.07,0
71612,-0.15,0.98,1.07,0
71617,-0.15,0.98,1.07,0
71621,-0.1,1.03,1.03,0
71625,-0.1,1.03,1.03,0
71629,-0.1,1.03,1.03,0
71634,-0.1,1.03,1.03,0
71638,-0.1,1.03,1.27,0
71642,-0.29,1.07,1.27,0
71647,-0.29,1.07,1.27,0
71651,-0.29,1.07,1.27,0
71656,-0.29,1.07,1.27,0
71660,-0.15,1.03,1.12,0
71664,-0.15,1.03,1.12,0
71669,-0.15,1.03,1.12,0
71673,-0.15,1.03,1.12,0
71677,-0.29,1.03,1.12,0
71682,-0.29,1.03,1.12,0
71686,-0.29,1.03,1.12,0
71690,-0.29,1.03,1.12,0
71695,-0.29,1.03,1.12,0
71699,-0.29,0.88,1.12,0
71703,-0.29,0.88,1.12,0
71708,-0.29,0.88,1.12,0
71712,-0.29,0.88,1.12,0
71716,-0.05,0.93,1.56,0
71721,-0.05,0.93,1.56,0
71725,-0.05,0.93,1.56,0
71729,-0.05,0.93,1.56,0
71734,-0.05,1.03,1.22,0
71738,-0.24,1.03,1.22,0
71742,-0.24,1.03,1.22,0
71747,-0.24,1.03,1.22,0
71751,-0.24,1.03,1.22,0
71755,-0.05,1.07,1.22,0
71759,-0.05,1.07,1.22,0
71764,-0.05,1.07,1.22,0
71768,-0.05,1.07,1.22,0
71773,-0.2,1.03,1.22,0
71777,-0.2,1.03,1.22,0
71781,-0.2,1.03,1.22,0
71786,-0.2,1.03,1.22,0
71790,-0.2,1.03,1.12,0
71794,-0.34,1.07,1.12,0
71799,-0.34,1.07,1.12,0
71803,-0.34,1.07,1.12,0
71807,-0.34,1.07,1.12,0
71811,-0.39,1.07,1.17,0
71816,-0.39,1.07,1.17,0
71820,-0.39,1.07,1.17,0
71824,-0.39,1.07,1.17,0
71829,-0.39,1.17,1.12,0
71833,-0.05,1.17,1.12,0
71837,-0.05,1.17,1.12,0
71842,-0.05,1.17,1.12,0
71846,-0.05,1.17,1.42,0
71850,-0.1,1.22,1.42,0
71855,-0.1,1.22,1.42,0
71859,-0.1,1.22,1.42,0
71863,-0.1,1.22,1.42,0
71868,-0.39,0.93,1.42,0
71872,-0.39,0.93,1.42,0
71876,-0.39,0.93,1.42,0
71881,-0.39,0.93,1.42,0
71885,-0.39,0.93,1.17,0
71889,-0.34,1.07,1.17,0
71894,-0.34,1.07,1.17,0
71898,-0.34,1.07,1.17,0
71902,-0.34,1.07,1.17,0
71906,-0.39,1.07,0.78,0
71911,-0.39,1.07,0.78,0
71915,-0.39,1.07,0.78,0
71919,-0.39,1.07,0.78,0
71924,-0.49,1.07,1.27,0
71928,-0.49,1.07,1.27,0
71932,-0.49,1.07,1.27,0
