millis,, a_y, a_z, g_x, g_y, g_z,f
150892,0.88,1.3,-9.74,0.02,0,0.01,4095
150896,0.8,1.37,-9.72,0.02,0,0,4095
150902,0.81,1.43,-9.73,0.02,0,0.01,4095
150906,0.91,1.34,-9.79,0.02,0,0.01,4095
150911,0.92,1.39,-9.72,0.02,0,0.01,4095
150916,0.87,1.38,-9.77,0.02,0,0,4095
150921,0.86,1.31,-9.78,0.02,0,0.01,4095
150925,0.84,1.36,-9.73,0.02,0,0.01,4095
150930,0.92,1.34,-9.77,0.02,0,0.01,4093
150935,0.89,1.4,-9.76,0.02,0,0.01,3959
150940,0.95,1.34,-9.77,0.02,0,0.01,3913
150945,0.86,1.46,-9.71,0.02,0,0.01,3762
150950,0.8,1.38,-9.83,0.02,0,0.01,3643
150955,0.86,1.39,-9.73,0.02,0,0.01,3494
150959,0.87,1.43,-9.78,0.02,0,0.01,3312
150964,0.9,1.33,-9.74,0.02,0,0.01,3104
150968,0.89,1.4,-9.77,0.02,0,0.01,2608
150973,0.84,1.38,-9.71,0.02,0,0.01,1783
150978,0.85,1.29,-9.77,0.02,0,0.01,1211
150982,0.92,1.35,-9.74,0.02,0,0.01,987
150987,0.81,1.33,-9.75,0.02,0,0.01,695
150991,0.79,1.39,-9.75,0.02,0,0.01,485
150996,0.84,1.35,-9.77,0.02,0,0.01,679
151000,0.91,1.37,-9.78,0.02,0,0.01,781
151004,0.91,1.41,-9.67,0.02,0,0.01,941
151048,0.83,1.38,-9.75,0.02,0,0.01,815
151053,0.92,1.31,-9.72,0.02,0,0.01,560
151058,0.89,1.37,-9.85,0.02,0,0.01,624
151062,0.87,1.39,-9.73,0.02,0,0.01,221
151068,0.87,1.45,-9.8,0.02,0,0.01,167
151072,0.9,1.43,-9.77,0.02,0,0.01,190
151078,0.82,1.44,-9.8,0.02,0,0.01,114
151082,0.85,1.36,-9.82,0.02,0,0.01,0
151090,0.88,1.35,-9.75,0.02,0,0.01,0
151094,0.78,1.34,-9.73,0.02,0,0.01,0
151099,0.84,1.32,-9.75,0.02,0,0.01,0
151103,0.87,1.43,-9.73,0.02,0,0.01,0
151108,0.88,1.37,-9.79,0.02,0,0.01,0
151113,0.9,1.42,-9.79,0.02,0,0.01,0
151118,0.92,1.4,-9.79,0.02,0,0.01,0
151123,0.88,1.41,-9.82,0.02,0,0.01,0
151127,0.94,1.45,-9.7,0.02,0,0.01,0
151133,0.91,1.3,-9.8,0.02,0,0.01,0
151138,0.93,1.38,-9.81,0.02,0,0.01,0
151143,0.86,1.38,-9.8,0.02,0,0.01,0
151147,0.86,1.39,-9.74,0.02,0,0.01,0
151153,0.92,1.36,-9.77,0.02,0,0.01,0
151158,0.84,1.43,-9.78,0.02,0,0.01,0
151163,0.84,1.43,-9.79,0.02,0,0.01,0
151169,0.78,1.42,-9.71,0.02,0,0.01,0
151174,0.78,1.46,-9.8,0.02,0,0.01,0
151178,0.85,1.42,-9.8,0.02,0,0.01,0
151183,0.87,1.43,-9.72,0.02,0,0.01,0
151187,0.87,1.34,-9.79,0.02,0,0.01,0
151192,0.86,1.3,-9.76,0.02,0,0.01,0
151196,0.85,1.37,-9.77,0.02,0,0.01,0
151201,0.87,1.44,-9.71,0.02,0,0.01,0
151206,0.87,1.44,-9.75,0.02,0,0.01,0
151211,0.89,1.37,-9.8,0.02,0,0.01,0
151215,0.89,1.39,-9.76,0.02,0,0.01,0
151220,0.96,1.39,-9.8,0.02,0,0.01,0
151225,0.89,1.35,-9.76,0.02,0,0.01,0
151229,0.85,1.37,-9.69,0.02,0,0.01,0
151234,0.87,1.39,-9.76,0.02,0,0.01,0
151238,0.83,1.45,-9.74,0.02,0,0.01,0
151243,0.85,1.41,-9.74,0.02,0,0.01,0
151247,0.95,1.31,-9.77,0.02,0,0.01,0
151252,0.83,1.43,-9.75,0.02,0,0.01,0
151256,0.93,1.37,-9.77,0.02,0,0.01,0
151261,0.84,1.46,-9.75,0.02,0,0.01,0
151266,0.87,1.45,-9.81,0.02,0,0.01,0
151271,0.8,1.45,-9.83,0.02,0,0.01,0
151275,0.9,1.39,-9.74,0.01,0,0.01,0
151281,0.91,1.45,-9.77,0.02,0,0.01,0
151285,0.93,1.35,-9.8,0.02,0,0.01,0
151290,0.83,1.39,-9.71,0.01,0,0.01,0
151295,0.82,1.35,-9.81,0.02,0,0.01,0
151300,0.93,1.45,-9.71,0.01,0,0.01,0
151305,0.83,1.29,-9.81,0.01,0,0.01,0
151310,0.86,1.35,-9.75,0.01,0,0.01,0
151315,0.84,1.42,-9.79,0.02,0,0.01,0
151319,0.78,1.38,-9.76,0.02,0,0.01,0
151324,0.86,1.39,-9.76,0.01,0,0.01,0
151328,0.91,1.43,-9.75,0.02,0,0.01,0
151333,0.86,1.35,-9.8,0.02,0,0.01,0
151339,0.94,1.42,-9.74,0.01,0,0.01,0
151344,0.87,1.43,-9.78,0.01,0,0.01,0
151350,0.92,1.4,-9.74,0.01,0,0.01,0
151355,0.84,1.38,-9.83,0.01,0,0.01,0
151359,0.9,1.42,-9.77,0.01,0,0.01,0
151364,0.85,1.41,-9.74,0.01,0,0.01,0
151369,0.87,1.51,-9.78,0.02,0,0.01,0
151374,0.87,1.39,-9.79,0.01,0,0.01,0
151379,0.86,1.35,-9.8,0.01,0,0.01,0
151383,0.82,1.42,-9.8,0.01,0,0.01,0
151388,0.89,1.39,-9.81,0.01,0,0.01,0
151392,0.83,1.35,-9.76,0.01,0,0.01,0
151397,0.93,1.38,-9.72,0.01,0,0.01,0
151401,0.83,1.37,-9.77,0.01,0,0.01,0
151415,0.91,1.43,-9.73,0.01,0,0.01,0
151464,0.84,1.38,-9.79,0.01,-0.01,0.01,0
151469,0.9,1.45,-9.75,0.01,0,0.01,0
151474,0.93,1.38,-9.82,0.01,0,0.01,0
151479,0.93,1.39,-9.72,0.01,0,0.01,0
151484,0.87,1.42,-9.74,0.01,-0.01,0.01,0
151489,0.92,1.44,-9.82,0.01,-0.01,0.01,0
151494,0.9,1.42,-9.77,0.01,0,0.01,0
151499,0.88,1.38,-9.78,0.01,0,0.01,0
151504,0.79,1.4,-9.76,0.01,-0.01,0.01,0
151508,0.86,1.43,-9.79,0.01,0,0.01,0
151513,0.88,1.41,-9.7,0.01,-0.01,0.01,0
151518,0.9,1.48,-9.75,0.01,0,0.01,0
