a_x a_y a_z f
-0.10 1.27 1.27 0
430401 -0.39 1.03 0.39 0
430405 -0.24 1.32 0.44 0
430410 -0.24 1.32 0.44 0
430414 -0.24 1.32 0.44 0
430419 -0.24 1.32 0.44 0
430423 -0.24 1.32 0.68 0
430427 -0.34 1.03 0.68 0
430434 -0.34 1.03 0.68 0
430438 -0.34 1.03 0.68 0
430449 -0.29 1.22 0.64 0
430453 -0.29 1.22 0.64 0
430457 -0.29 1.22 0.64 0
430462 -0.29 1.22 0.73 0
430466 -0.29 1.12 0.73 0
430470 -0.29 1.12 0.73 0
430475 -0.29 1.12 0.73 0
430479 -0.29 1.12 0.73 0
430483 -0.44 0.93 0.73 0
430487 -0.44 0.93 0.73 0
430492 -0.44 0.93 0.73 0
430496 -0.44 0.93 0.73 0
430500 -0.29 0.83 0.83 0
430505 -0.29 0.83 0.83 0
430509 -0.29 0.83 0.83 0
430513 -0.29 0.83 0.83 0
430518 -0.29 0.83 1.22 0
430522 -0.34 0.98 1.22 0
430526 -0.34 0.98 1.22 0
430531 -0.34 0.98 1.22 0
430535 -0.34 0.98 1.22 0
430539 -0.39 0.83 1.17 0
430544 -0.39 0.83 1.17 0
430548 -0.39 0.83 1.17 0
430552 -0.39 0.83 1.17 0
430557 -0.39 0.83 1.37 0
430561 -0.49 0.83 1.37 0
430565 -0.49 0.83 1.37 0
430570 -0.49 0.83 1.37 0
430574 -0.49 0.83 1.37 0
430578 -0.39 1.03 1.17 0
430583 -0.39 1.03 1.17 0
430587 -0.39 1.03 1.17 0
430591 -0.39 1.03 1.17 0
430596 -0.39 0.83 1.56 0
430600 -0.39 0.83 1.56 0
430604 -0.39 0.83 1.56 0
430609 -0.39 0.83 1.56 0
430613 -0.39 0.83 1.27 0
430617 -0.44 0.68 1.27 0
430622 -0.44 0.68 1.27 0
430626 -0.44 0.68 1.27 0
430630 -0.44 0.68 1.27 0
430635 -0.49 0.64 1.51 0
430639 -0.49 0.64 1.51 0
430643 -0.49 0.64 1.51 0
430648 -0.49 0.64 1.51 0
430652 -0.34 0.59 1.56 0
430656 -0.34 0.59 1.56 0
430661 -0.34 0.59 1.56 0
430665 -0.34 0.59 1.56 0
430669 -0.34 0.59 1.56 0
430673 -0.39 0.59 1.56 0
430678 -0.39 0.59 1.56 0
430682 -0.39 0.59 1.56 0
430686 -0.39 0.59 1.56 0
430691 -0.49 0.59 1.42 0
430695 -0.49 0.59 1.42 0
430699 -0.49 0.59 1.42 0
430704 -0.49 0.59 1.42 0
430708 -0.49 1.37 1.42 0
430713 -0.44 0.78 1.42 0
430717 -0.44 0.78 1.42 0
430721 -0.44 0.78 1.42 0
430725 -0.44 0.78 1.42 0
430730 -0.44 0.68 1.66 0
430734 -0.44 0.68 1.66 0
430738 -0.44 0.68 1.66 0
430743 -0.44 0.68 1.66 0
430747 -0.49 0.88 1.56 0
430751 -0.49 0.88 1.56 0
430756 -0.49 0.88 1.56 0
430760 -0.49 0.88 1.56 0
430764 -0.49 0.88 1.61 0
430768 -0.59 0.83 1.61 0
430773 -0.59 0.83 1.61 0
430777 -0.59 0.83 1.61 0
430781 -0.59 0.83 1.61 0
430786 -0.39 0.78 1.71 0
430790 -0.39 0.78 1.71 0
430794 -0.39 0.78 1.71 0
430798 -0.39 0.78 1.71 0
430822 -0.54 0.68 1.66 0
430827 -0.54 0.73 1.66 0
430831 -0.54 0.73 1.66 0
430835 -0.54 0.73 1.66 0
430840 -0.54 0.73 1.66 0
430844 -0.59 0.68 1.71 0
430848 -0.59 0.68 1.71 0
430854 -0.59 0.68 1.71 0
430858 -0.59 0.68 1.71 0
430863 -0.49 0.68 1.56 0
430867 -0.49 0.68 1.56 0
430871 -0.49 0.68 1.56 0
430875 -0.49 0.68 1.56 0
430880 -0.49 0.93 1.56 0
430884 -0.49 0.93 1.56 0
430889 -0.49 0.93 1.56 0
430893 -0.49 0.93 1.56 0
430897 -0.49 0.93 1.56 0
430902 -0.59 0.88 1.56 0
430906 -0.59 0.88 1.56 0
430910 -0.59 0.88 1.56 0
430915 -0.59 0.88 1.56 0
430919 -0.64 0.98 1.42 0
430923 -0.64 0.98 1.42 0
430928 -0.64 0.98 1.42 0
430932 -0.64 0.98 1.42 0
430936 -0.64 0.73 1.56 0
430941 -0.44 0.73 1.56 0
430945 -0.44 0.73 1.56 0
430949 -0.44 0.73 1.56 0
430954 -0.44 0.73 1.56 0
430958 -0.49 0.78 1.71 0
430962 -0.49 0.78 1.71 0
430967 -0.49 0.78 1.71 0
430971 -0.49 0.78 1.71 0
430975 -0.44 0.88 1.56 0
430980 -0.44 0.88 1.56 0
430984 -0.44 0.88 1.56 0
430988 -0.44 0.88 1.56 0
430993 -0.44 0.88 1.56 0
430997 -0.39 0.83 1.56 0
431001 -0.39 0.83 1.56 0
431005 -0.39 0.83 1.56 0
431010 -0.39 0.83 1.56 0
431014 -0.39 0.73 1.56 0
431018 -0.39 0.73 1.56 0
431022 -0.39 0.73 1.56 0
431027 -0.39 0.73 1.56 0
431031 -0.39 0.73 1.61 0
431035 -0.49 0.68 1.61 0
431040 -0.49 0.68 1.61 0
431044 -0.49 0.68 1.61 0
431048 -0.49 0.68 1.61 0
431052 -0.54 0.98 1.66 0
431057 -0.54 0.98 1.66 0
431061 -0.54 0.98 1.66 0
431066 -0.54 0.98 1.66 0
431070 -0.44 0.98 1.66 0
431074 -0.44 0.98 1.66 0
431078 -0.44 0.98 1.66 0
431083 -0.44 0.98 1.66 0
431087 -0.44 0.98 1.95 0
431091 -0.39 0.78 1.95 0
431096 -0.39 0.78 1.95 0
431100 -0.39 0.78 1.95 0
431104 -0.39 0.78 1.95 0
431109 -0.64 0.88 1.56 0
431113 -0.64 0.88 1.56 0
431117 -0.64 0.88 1.56 0
431121 -0.64 0.88 1.56 0
431126 -0.64 0.88 1.86 0
431130 -0.44 0.78 1.86 0
431134 -0.44 0.78 1.86 0
431139 -0.44 0.78 1.86 0
431143 -0.44 0.78 1.86 0
431147 -0.44 0.88 1.71 0
431152 -0.44 0.88 1.71 0
431156 -0.44 0.88 1.71 0
431160 -0.44 0.88 1.71 0
431170 -0.54 1.07 1.61 0
431181 -0.54 1.07 1.61 0
431185 -0.29 0.98 1.47 0
431189 -0.29 0.98 1.47 0
431194 -0.29 0.98 1.47 0
431202 -0.29 0.93 1.66 0
431206 -0.44 0.93 1.66 0
431211 -0.44 0.93 1.66 0
431215 -0.44 0.93 1.66 0
431219 -0.44 0.93 1.66 0
431224 -0.49 0.98 1.66 0
431228 -0.49 0.98 1.66 0
431233 -0.49 0.98 1.66 0
431237 -0.49 0.98 1.66 0
431241 -0.44 0.93 1.56 0
431246 -0.44 0.93 1.56 0
431250 -0.44 0.93 1.56 0
431254 -0.44 0.93 1.56 0
431259 -0.44 0.93 1.42 0
431263 -0.49 1.07 1.42 0
431267 -0.49 1.07 1.42 0
431271 -0.49 1.07 1.42 0
431276 -0.49 1.07 1.42 0
431280 -0.49 1.12 1.61 0
431284 -0.49 1.12 1.61 0
431288 -0.49 1.12 1.61 0
431293 -0.49 1.12 1.61 0
431297 -0.49 1.03 1.61 0
431301 -0.44 1.03 1.61 0
431305 -0.44 1.03 1.61 0
431310 -0.44 1.03 1.61 0
431314 -0.44 1.03 1.61 0
431319 -0.49 1.03 1.56 0
431323 -0.49 1.03 1.56 0
431327 -0.49 1.03 1.56 0
431332 -0.49 1.03 1.56 0
431336 -0.49 0.88 1.42 0
431340 -0.49 0.88 1.42 0
431344 -0.49 0.88 1.42 0
431349 -0.49 0.88 1.42 0
431353 -0.49 0.88 1.32 0
431357 -0.39 0.93 1.32 0
431362 -0.39 0.93 1.32 0
431366 -0.39 0.93 1.32 0
431370 -0.39 0.93 1.32 0
431375 -0.44 0.88 1.56 0
431379 -0.44 0.88 1.56 0
431383 -0.44 0.88 1.56 0
431388 -0.44 0.88 1.56 0
431392 -0.44 0.93 1.56 0
431396 -0.34 0.93 1.56 0
431401 -0.34 0.93 1.56 0
431405 -0.34 0.93 1.56 0
431409 -0.34 0.93 1.56 0
431414 -0.39 0.88 1.56 0
431418 -0.39 0.88 1.56 0
431422 -0.39 0.88 1.56 0
431427 -0.39 0.88 1.56 0
431431 -0.24 0.88 1.71 0
431435 -0.24 0.88 1.71 0
