"millis, a_x, a_y, a_z, g_x, g_y, g_z"
"76049,0.18,1.42,-9.80,0.04,-0.02,0.00"
"76053,0.09,1.39,-9.80,0.04,-0.02,0.00"
"76058,0.11,1.38,-9.77,0.04,-0.02,0.00"
"76061,0.05,1.34,-9.79,0.04,-0.02,0.00"
"76066,0.12,1.32,-9.83,0.04,-0.02,0.00"
"76069,0.12,1.30,-9.76,0.04,-0.02,0.00"
"76073,0.15,1.35,-9.71,0.04,-0.02,0.00"
"76077,0.13,1.38,-9.84,0.04,-0.02,0.00"
"76081,0.11,1.47,-9.70,0.04,-0.02,0.00"
"76084,0.17,1.31,-9.82,0.04,-0.02,0.00"
"76088,0.08,1.31,-9.76,0.04,-0.02,0.00"
"76092,0.13,1.35,-9.72,0.04,-0.02,0.00"
"76096,0.14,1.39,-9.83,0.04,-0.02,0.00"
"76099,0.14,1.33,-9.78,0.04,-0.02,0.00"
"76103,0.10,1.33,-9.73,0.04,-0.02,0.00"
"76107,0.06,1.35,-9.75,0.04,-0.02,0.00"
"76111,0.16,1.35,-9.82,0.04,-0.02,0.00"
"76114,0.10,1.28,-9.76,0.04,-0.02,0.00"
"76118,0.11,1.35,-9.81,0.04,-0.02,0.00"
"76122,0.19,1.36,-9.77,0.04,-0.02,0.00"
"76127,0.11,1.32,-9.85,0.04,-0.02,0.00"
"76131,0.16,1.31,-9.78,0.04,-0.01,0.00"
"76137,0.16,1.36,-9.79,0.04,-0.02,0.00"
"76141,0.12,1.37,-9.75,0.04,-0.02,0.00"
"76147,0.23,1.35,-9.71,0.04,-0.02,0.00"
"76152,0.07,1.37,-9.72,0.04,-0.02,0.00"
"76157,0.19,1.42,-9.72,0.04,-0.02,0.00"
"76162,0.13,1.29,-9.77,0.04,-0.02,0.00"
"76167,0.11,1.33,-9.78,0.04,-0.02,0.00"
"76172,0.11,1.27,-9.84,0.04,-0.02,0.00"
"76177,0.12,1.40,-9.73,0.04,-0.01,0.00"
"76182,0.11,1.37,-9.77,0.04,-0.02,0.00"
"76187,0.15,1.42,-9.81,0.04,-0.01,0.00"
"76192,0.11,1.31,-9.80,0.04,-0.02,0.00"
"76197,0.15,1.32,-9.83,0.04,-0.02,0.00"
"76202,0.11,1.34,-9.72,0.04,-0.02,0.00"
"76207,0.09,1.27,-9.72,0.04,-0.02,0.00"
"76211,0.11,1.33,-9.81,0.04,-0.02,0.00"
"76216,0.17,1.39,-9.70,0.03,-0.01,0.00"
"76220,0.09,1.35,-9.72,0.04,-0.01,0.00"
"76224,0.11,1.36,-9.78,0.04,-0.01,0.00"
"76228,0.11,1.34,-9.76,0.04,-0.01,0.00"
"76231,0.13,1.35,-9.71,0.04,-0.01,0.00"
"76236,0.18,1.35,-9.77,0.04,-0.02,0.00"
"76240,0.12,1.33,-9.76,0.03,-0.01,0.00"
"76244,0.15,1.33,-9.71,0.03,-0.02,0.00"
"76250,0.08,1.41,-9.76,0.03,-0.01,0.00"
"76254,0.15,1.35,-9.72,0.03,-0.01,0.00"
"76257,0.14,1.43,-9.79,0.03,-0.01,0.00"
"76261,0.14,1.32,-9.78,0.03,-0.01,0.00"
"76265,0.11,1.35,-9.79,0.03,-0.01,0.00"
"76269,0.11,1.35,-9.74,0.03,-0.02,0.00"
"76272,0.21,1.33,-9.81,0.03,-0.01,0.00"
"76276,0.13,1.32,-9.78,0.03,-0.01,0.00"
"76280,0.15,1.35,-9.74,0.03,-0.01,0.00"
"76284,0.16,1.42,-9.76,0.03,-0.01,0.00"
"76288,0.11,1.32,-9.76,0.03,-0.01,0.00"
"76292,0.11,1.41,-9.68,0.03,-0.01,0.00"
"76297,0.09,1.28,-9.76,0.03,-0.01,0.00"
"76301,0.10,1.32,-9.78,0.03,-0.01,0.00"
"76306,0.11,1.34,-9.78,0.03,-0.01,0.00"
"76310,0.23,1.36,-9.78,0.03,-0.01,0.00"
"76316,0.19,1.44,-9.82,0.03,-0.01,0.00"
"76320,0.15,1.36,-9.77,0.03,-0.01,0.00"
"76326,0.15,1.43,-9.83,0.03,-0.01,0.00"
"76330,0.11,1.34,-9.78,0.03,-0.01,0.00"
"76334,0.16,1.39,-9.80,0.03,-0.01,0.00"
"76337,0.11,1.25,-9.72,0.03,-0.01,0.00"
"76341,0.15,1.38,-9.79,0.03,-0.01,0.00"
"76354,0.09,1.37,-9.75,0.03,-0.01,0.00"
"76360,0.18,1.43,-9.82,0.03,-0.01,0.00"
"76365,0.13,1.33,-9.69,0.02,-0.01,0.00"
"76369,0.12,1.38,-9.75,0.03,-0.01,0.00"
"76373,0.11,1.43,-9.76,0.03,-0.01,0.00"
"76378,0.11,1.39,-9.75,0.02,-0.01,0.00"
"76381,0.09,1.38,-9.77,0.02,-0.01,0.00"
"76385,0.09,1.41,-9.83,0.03,-0.01,0.00"
"76389,0.13,1.32,-9.74,0.02,-0.01,0.00"
"76393,0.14,1.36,-9.76,0.02,-0.01,0.00"
"76396,0.24,1.30,-9.86,0.02,-0.01,0.00"
"76402,0.22,1.39,-9.75,0.02,-0.01,0.00"
"76407,0.12,1.39,-9.79,0.02,-0.01,0.00"
"76412,0.11,1.36,-9.68,0.02,-0.01,0.00"
"76417,0.18,1.38,-9.78,0.02,-0.01,-0.00"
"76422,0.03,1.39,-9.84,0.02,-0.01,0.00"
"76427,0.12,1.37,-9.74,0.02,-0.01,0.00"
"76430,0.18,1.31,-9.75,0.02,-0.01,0.00"
"76435,0.11,1.32,-9.73,0.02,-0.01,0.00"
"76439,0.08,1.31,-9.81,0.02,-0.01,0.00"
"76443,0.11,1.34,-9.75,0.02,-0.01,0.00"
"76448,0.18,1.41,-9.75,0.02,-0.01,0.00"
"76452,0.23,1.40,-9.76,0.02,-0.01,0.00"
"76455,0.13,1.28,-9.72,0.02,-0.01,0.00"
"76459,0.07,1.37,-9.76,0.02,-0.01,-0.00"
"76463,0.17,1.46,-9.72,0.02,-0.01,0.00"
"76467,0.12,1.40,-9.74,0.02,-0.00,0.00"
"76470,0.14,1.39,-9.80,0.02,-0.01,-0.00"
"76474,0.16,1.40,-9.77,0.02,-0.01,-0.00"
"76478,0.03,1.34,-9.83,0.02,-0.01,0.00"
"76482,0.18,1.39,-9.79,0.02,-0.01,0.00"
"76486,0.08,1.36,-9.82,0.02,-0.01,-0.00"
"76490,0.17,1.36,-9.78,0.01,-0.01,0.00"
"76500,0.12,1.41,-9.77,0.02,-0.01,0.00"
"76504,0.21,1.36,-9.74,0.02,-0.01,0.00"
"76508,0.12,1.37,-9.80,0.02,-0.01,-0.00"
"76513,0.22,1.33,-9.81,0.01,-0.01,-0.00"
"76517,0.08,1.36,-9.78,0.02,-0.01,0.00"
