"millis, a_x, a_y, a_z, g_x, g_y, g_z"
"349845,0.14,1.32,-9.72,-0.00,-0.01,-0.01"
"349849,0.16,1.36,-9.75,-0.00,-0.00,-0.01"
"349853,0.20,1.41,-9.75,-0.00,-0.00,-0.01"
"349864,0.20,1.30,-9.78,-0.00,-0.00,-0.01"
"349868,0.11,1.36,-9.65,-0.01,-0.00,-0.01"
"349873,0.14,1.37,-9.72,-0.01,-0.01,-0.01"
"349877,0.20,1.34,-9.72,-0.01,-0.00,-0.01"
"349881,0.19,1.33,-9.76,-0.01,-0.00,-0.01"
"349884,0.16,1.33,-9.78,-0.00,-0.00,-0.01"
"349893,0.18,1.33,-9.77,-0.01,-0.00,-0.01"
"349899,0.12,1.38,-9.83,-0.01,-0.00,-0.01"
"349902,0.18,1.29,-9.80,-0.01,-0.00,-0.01"
"349906,0.21,1.35,-9.75,-0.01,-0.00,-0.01"
"349911,0.16,1.39,-9.77,-0.01,-0.00,-0.01"
"349915,0.19,1.26,-9.77,-0.01,-0.01,-0.01"
"349919,0.15,1.31,-9.78,-0.01,-0.00,-0.01"
"349923,0.17,1.37,-9.82,-0.01,-0.00,-0.01"
"349930,0.11,1.35,-9.79,-0.01,-0.00,-0.01"
"349934,0.24,1.33,-9.71,-0.01,-0.01,-0.01"
"349939,0.09,1.29,-9.83,-0.01,-0.00,-0.01"
"349943,0.20,1.32,-9.71,-0.01,-0.00,-0.01"
"349948,0.16,1.39,-9.73,-0.01,-0.00,-0.01"
"349952,0.18,1.30,-9.83,-0.01,-0.01,-0.00"
"349956,0.15,1.31,-9.83,-0.01,-0.00,-0.01"
"349960,0.12,1.29,-9.71,-0.01,-0.00,-0.01"
"349963,0.16,1.34,-9.71,-0.01,-0.00,-0.01"
"349969,0.11,1.31,-9.75,-0.01,-0.01,-0.01"
"349973,0.19,1.29,-9.79,-0.01,-0.00,-0.01"
"349979,0.10,1.36,-9.74,-0.01,-0.01,-0.01"
"349983,0.09,1.33,-9.83,-0.01,-0.00,-0.00"
"349986,0.14,1.32,-9.78,-0.01,-0.00,-0.01"
"349990,0.14,1.35,-9.76,-0.01,-0.00,-0.01"
"349999,0.25,1.34,-9.72,-0.01,-0.00,-0.01"
"350003,0.15,1.41,-9.81,-0.01,-0.00,-0.01"
"350008,0.33,1.29,-9.74,-0.01,-0.00,-0.00"
"350013,0.13,1.27,-9.79,-0.01,-0.01,-0.00"
"350017,0.12,1.28,-9.74,-0.01,-0.01,-0.01"
"350022,0.14,1.34,-9.81,-0.01,-0.01,-0.00"
"350027,0.18,1.42,-9.80,-0.01,-0.01,-0.00"
"350031,0.19,1.34,-9.80,-0.01,-0.01,-0.00"
"350034,0.21,1.34,-9.76,-0.01,-0.01,-0.01"
"350039,0.18,1.33,-9.74,-0.01,-0.01,-0.00"
"350043,0.13,1.31,-9.78,-0.01,-0.01,-0.00"
"350049,0.21,1.33,-9.73,-0.01,-0.01,-0.00"
"350054,0.15,1.29,-9.78,-0.01,-0.01,-0.00"
