millis, a_x, a_y, a_z, g_x, g_y, g_z
504549,1.22,-0.93,-9.03,-0.1,-0.01,-0.34
504555,1.03,-1.39,-9.12,-0.08,-0.01,-0.35
504559,1.06,-1.12,-9.27,-0.05,0.01,-0.36
504565,1.29,-1.64,-9.08,-0.03,0.03,-0.35
504569,1.54,-1.93,-9.36,0,0.03,-0.36
504575,1.81,-1.81,-9.43,0.04,0.04,-0.37
504579,1.57,-1.31,-9.37,0.05,0.03,-0.35
504585,1.54,-1.09,-9.71,0.07,0.03,-0.33
504589,1.36,-0.93,-9.27,0.1,0.03,-0.33
504595,1.31,-0.35,-9.93,0.11,0.03,-0.33
504599,0.97,-0.33,-9.41,0.11,0.05,-0.33
504604,1.23,-0.63,-9.66,0.15,0.04,-0.34
504610,1.33,-0.77,-9.83,0.16,0.08,-0.35
504614,1.55,-1.06,-9.89,0.18,0.09,-0.34
504619,1.61,-1.8,-9.61,0.21,0.08,-0.34
504623,1.77,-1.81,-10.21,0.26,0.08,-0.35
504628,1.39,-1.63,-10.21,0.26,0.09,-0.34
504633,1.18,-1.48,-10.02,0.28,0.06,-0.32
504637,0.85,-0.89,-10.3,0.31,0.05,-0.31
504642,0.55,0.07,-10.42,0.3,0.06,-0.31
504647,0.65,0.54,-10.25,0.3,0.05,-0.3
504652,0.53,0.91,-10.41,0.33,0.06,-0.32
504656,0.69,1.31,-10.42,0.33,0.08,-0.33
504661,0.87,1.24,-10.38,0.33,0.09,-0.33
504665,1.09,1.08,-10.26,0.33,0.09,-0.33
504670,1.17,1.21,-10.14,0.34,0.09,-0.35
504674,1.02,1.49,-10.19,0.35,0.08,-0.35
504680,0.36,1.34,-10.08,0.34,0.08,-0.33
504684,0.74,1.09,-10.26,0.35,0.06,-0.32
504689,0.52,1.73,-9.92,0.35,0.09,-0.36
504694,0.33,2.2,-9.88,0.32,0.07,-0.33
504699,0.01,2.01,-9.98,0.33,0.04,-0.32
504703,0.56,2.17,-10.17,0.34,0.06,-0.35
504709,0.5,2.57,-10,0.31,0.09,-0.35
504713,0.52,2.43,-9.49,0.29,0.07,-0.34
504718,0.71,2.55,-10,0.32,0.05,-0.35
504722,0.34,2.76,-9.71,0.29,0.05,-0.35
504728,0.58,3.15,-9.92,0.27,0.05,-0.36
504732,0.51,3.31,-9.66,0.24,0.07,-0.36
504737,0.7,3.29,-9.5,0.25,0.06,-0.36
504742,0.6,3.28,-9.8,0.23,0.05,-0.36
504748,0.6,3.19,-9.54,0.21,0.05,-0.36
504752,0.51,3.24,-9.39,0.2,0.05,-0.37
504756,0.69,3.18,-9.35,0.18,0.05,-0.37
504761,0.68,3.21,-9.43,0.17,0.05,-0.37
504765,0.58,3.26,-9.21,0.15,0.04,-0.37
504770,0.56,3.43,-9.36,0.13,0.05,-0.38
504774,0.33,3.48,-9.28,0.11,0.04,-0.38
504778,0.46,3.42,-9.25,0.1,0.03,-0.38
504786,0.55,3.24,-9.56,0.08,0.04,-0.38
504790,0.42,3.26,-9.25,0.06,0.03,-0.38
504796,0.53,3.32,-9.3,0.04,0.03,-0.39
504800,0.74,3.31,-9.58,0.02,0.04,-0.4
504805,0.75,3.11,-9.42,0.01,0.05,-0.39
504809,0.87,2.78,-9.08,0,0.04,-0.39
504814,0.76,2.52,-9.5,-0.01,0.02,-0.39
504818,0.84,3.02,-9.68,-0.02,0.02,-0.4
504823,0.44,3.27,-9.41,-0.03,0.03,-0.39
504827,0.89,2.81,-9.44,-0.06,0.03,-0.39
504832,0.46,2.42,-9.54,-0.07,0.03,-0.41
504853,0.58,2.37,-9.77,-0.11,0,-0.4
504858,0.58,2.07,-9.53,-0.12,0.01,-0.41
504863,0.81,1.88,-10.21,-0.12,0.02,-0.42
504868,0.86,1.77,-10.05,-0.12,0.02,-0.42
504873,1.06,1.56,-10.16,-0.13,0.02,-0.42
504877,0.96,1.44,-10.12,-0.12,0.02,-0.43
504882,0.91,1.39,-10.27,-0.12,0.01,-0.41
504887,0.82,1.25,-10.17,-0.13,0.01,-0.41
504892,0.88,0.95,-10.26,-0.12,0.02,-0.42
504897,0.88,0.82,-10.17,-0.11,0.02,-0.42
504902,0.94,0.51,-10.15,-0.11,0.01,-0.42
504908,1.12,0.54,-10.3,-0.11,0.02,-0.43
504915,1.31,0.72,-10.07,-0.1,0.02,-0.41
504920,1.09,0.51,-10,-0.1,0.03,-0.41
504924,1.16,0.46,-10.09,-0.08,0.02,-0.41
504930,1.3,0.46,-9.93,-0.08,0.03,-0.42
504937,1.17,-0.07,-9.57,-0.06,0.03,-0.42
504942,1.01,-0.23,-9.61,-0.03,0.02,-0.41
504947,1.01,-0.37,-9.72,-0.02,0.03,-0.41
504952,1.28,-0.55,-9.72,-0.01,0.05,-0.42
504957,1.47,-0.48,-9.53,0,0.05,-0.42
504962,1.54,-0.45,-9.56,0.02,0.05,-0.41
504967,1.5,-0.46,-9.59,0.03,0.05,-0.41
504971,1.57,-0.49,-9.5,0.04,0.06,-0.41
504977,1.69,-0.47,-9.56,0.05,0.07,-0.41
504982,1.83,-0.66,-9.69,0.08,0.09,-0.41
