millis,a_x,a_y,a_z,f,,,
422599,-0.29,1.07,0.68,0,,,
422603,-0.29,1.07,0.68,0,,,
422607,-0.29,1.07,0.68,0,,,
422612,-0.29,1.07,0.68,0,,,
422616,-0.29,1.07,0.64,0,,,
422620,-0.29,1.07,0.64,0,,,
422624,-0.29,1.07,0.64,0,,,
422673,-0.44,1.12,0.83,0,,,
422677,-0.24,0.98,0.83,0,,,
422682,-0.24,0.98,0.83,0,,,
422686,-0.24,0.98,0.83,0,,,
422690,-0.24,0.98,0.83,0,,,
422695,-0.39,0.83,0.98,0,,,
422699,-0.39,0.83,0.98,0,,,
422703,-0.39,0.83,0.98,0,,,
422708,-0.39,0.83,0.98,0,,,
422712,-0.44,0.98,0.88,0,,,
422716,-0.44,0.98,0.88,0,,,
422721,-0.44,0.98,0.88,0,,,
422725,-0.44,0.98,0.88,0,,,
422729,-0.44,0.98,1.07,0,,,
422734,-0.34,0.88,1.07,0,,,
422738,-0.34,0.88,1.07,0,,,
422742,-0.34,0.88,1.07,0,,,
422747,-0.34,0.88,1.07,0,,,
422751,-0.39,0.88,1.07,0,,,
422755,-0.39,0.88,1.07,0,,,
422760,-0.39,0.88,1.07,0,,,
422764,-0.39,0.88,1.07,0,,,
422768,-0.39,0.93,0.98,0,,,
422773,-0.29,0.93,0.98,0,,,
422777,-0.29,0.93,0.98,0,,,
422781,-0.29,0.93,0.98,0,,,
422786,-0.29,0.93,0.98,0,,,
422790,-0.44,0.88,1.17,0,,,
422794,-0.44,0.88,1.17,0,,,
422799,-0.44,0.88,1.17,0,,,
422803,-0.44,0.88,1.17,0,,,
422808,-0.44,0.83,0.98,0,,,
422812,-0.44,0.83,0.98,0,,,
422816,-0.44,0.83,0.98,0,,,
422821,-0.44,0.83,0.98,0,,,
422825,-0.44,0.83,1.17,0,,,
422829,-0.39,0.93,1.17,0,,,
422834,-0.39,0.93,1.17,0,,,
422838,-0.39,0.93,1.17,0,,,
422842,-0.39,0.93,1.17,0,,,
422847,-0.2,0.78,1.37,0,,,
422851,-0.2,0.78,1.37,0,,,
422855,-0.2,0.78,1.37,0,,,
422860,-0.2,0.78,1.37,0,,,
422864,-0.29,0.68,1.37,0,,,
422868,-0.29,0.68,1.37,0,,,
422873,-0.29,0.68,1.37,0,,,
422877,-0.29,0.68,1.37,0,,,
422881,-0.29,0.68,1.22,0,,,
422886,-0.49,0.78,1.22,0,,,
422890,-0.49,0.78,1.22,0,,,
422894,-0.49,0.78,1.22,0,,,
422899,-0.49,0.78,1.22,0,,,
422903,-0.49,0.93,1.07,0,,,
422907,-0.49,0.93,1.07,0,,,
422912,-0.49,0.93,1.07,0,,,
422916,-0.49,0.93,1.07,0,,,
422920,-0.49,0.93,1.07,0,,,
422924,-0.39,0.88,1.07,0,,,
422929,-0.39,0.88,1.07,0,,,
422933,-0.39,0.88,1.07,0,,,
422937,-0.39,0.88,1.07,0,,,
422942,-0.34,0.78,1.17,0,,,
422946,-0.34,0.78,1.17,0,,,
422950,-0.34,0.78,1.17,0,,,
422955,-0.34,0.78,1.17,0,,,
422959,-0.39,0.68,1.12,0,,,
422963,-0.39,0.68,1.12,0,,,
422968,-0.39,0.68,1.12,0,,,
422972,-0.39,0.68,1.12,0,,,
422976,-0.39,0.68,1.12,0,,,
422980,-0.59,0.73,1.12,0,,,
422985,-0.59,0.73,1.12,0,,,
422989,-0.59,0.73,1.12,0,,,
422993,-0.59,0.73,1.12,0,,,
423002,-0.54,0.78,1.07,0,,,
423006,-0.54,0.78,1.07,0,,,
423010,-0.54,0.78,1.07,0,,,
423015,-0.54,0.78,1.07,0,,,
423019,-0.44,0.98,1.07,0,,,
423024,-0.44,0.98,1.07,0,,,
423028,-0.44,0.98,1.07,0,,,
423032,-0.44,0.98,1.07,0,,,
423037,-0.49,0.88,1.12,0,,,
423041,-0.49,0.88,1.12,0,,,
423045,-0.49,0.88,1.12,0,,,
423050,-0.49,0.88,1.12,0,,,
423054,-0.49,0.83,0.93,0,,,
423058,-0.49,0.83,0.93,0,,,
423063,-0.49,0.83,0.93,0,,,
423067,-0.49,0.83,0.93,0,,,
423072,-0.49,0.83,0.83,0,,,
423076,-0.49,0.83,0.83,0,,,
423081,-0.49,0.83,0.83,0,,,
423085,-0.49,0.83,0.83,0,,,
423089,-0.49,0.83,0.83,0,,,
423094,-0.49,0.78,0.98,0,,,
423098,-0.49,0.78,0.98,0,,,
423102,-0.49,0.78,0.98,0,,,
423107,-0.49,0.78,0.98,0,,,
423111,-0.64,0.73,0.83,0,,,
423115,-0.64,0.73,0.83,0,,,
423120,-0.64,0.73,0.83,0,,,
423124,-0.64,0.73,0.83,0,,,
423128,-0.64,0.73,0.93,0,,,
423133,-0.64,0.64,0.93,0,,,
423137,-0.64,0.64,0.93,0,,,
423141,-0.64,0.64,0.93,0,,,
423146,-0.64,0.64,0.93,0,,,
423150,-0.59,0.73,0.78,0,,,
423154,-0.59,0.73,0.78,0,,,
423159,-0.59,0.73,0.78,0,,,
423163,-0.59,0.73,0.78,0,,,
423167,-0.59,0.78,0.83,0,,,
423172,-0.68,0.78,0.83,0,,,
423176,-0.68,0.78,0.83,0,,,
423180,-0.68,0.78,0.83,0,,,
423185,-0.68,0.78,0.83,0,,,
423189,-0.68,0.73,0.88,0,,,
423193,-0.68,0.73,0.88,0,,,
423198,-0.68,0.73,0.88,0,,,
423202,-0.68,0.73,0.88,0,,,
423206,-0.73,0.54,0.88,0,,,
423211,-0.73,0.54,0.88,0,,,
423215,-0.73,0.54,0.88,0,,,
423219,-0.73,0.54,0.88,0,,,
423224,-0.73,1.32,0.68,0,,,
423228,-0.59,0.88,0.68,0,,,
423232,-0.59,0.88,0.68,0,,,
423236,-0.59,0.88,0.68,0,,,
423241,-0.59,0.88,0.68,0,,,
423245,-0.59,0.78,1.03,0,,,
423249,-0.59,0.78,1.03,0,,,
423254,-0.59,0.78,1.03,0,,,
423258,-0.59,0.78,1.03,0,,,
423262,-0.59,0.78,1.03,0,,,
423267,-0.78,0.78,1.03,0,,,
423271,-0.78,0.78,1.03,0,,,
423276,-0.78,0.78,1.03,0,,,
423280,-0.78,0.78,1.03,0,,,
423284,-0.88,0.54,1.03,0,,,
423289,-0.88,0.54,1.03,0,,,
423293,-0.88,0.54,1.03,0,,,
423297,-0.88,0.54,1.03,0,,,
423302,-0.98,0.54,0.93,0,,,
423306,-0.98,0.54,0.93,0,,,
423310,-0.98,0.54,0.93,0,,,
423315,-0.98,0.54,0.93,0,,,
423319,-0.98,0.54,1.07,0,,,
423323,-1.03,0.54,1.07,0,,,
423328,-1.03,0.54,1.07,0,,,
423332,-1.03,0.54,1.07,0,,,
423336,-1.03,0.54,1.07,0,,,
423341,-0.98,0.34,0.93,0,,,
423345,-0.98,0.34,0.93,0,,,
423349,-0.98,0.34,0.93,0,,,
423353,-0.98,0.34,0.93,0,,,
423358,-0.88,0.49,1.03,0,,,
423362,-0.88,0.49,1.03,0,,,
423366,-0.88,0.49,1.03,0,,,
423371,-0.88,0.49,1.03,0,,,
423375,-0.88,0.49,0.93,0,,,
423379,-0.98,0.34,0.93,0,,,
423385,-0.98,0.34,0.93,0,,,
423389,-0.98,0.34,0.93,0,,,
423393,-0.98,0.34,0.93,0,,,
423398,-1.12,0.49,1.12,0,,,
423402,-1.12,0.49,1.12,0,,,
423406,-1.12,0.49,1.12,0,,,
423411,-1.12,0.49,1.12,0,,,
423415,-1.32,0.24,1.03,0,,,
423419,-1.32,0.24,1.03,0,,,
423424,-1.32,0.24,1.03,0,,,
423428,-1.32,0.24,1.03,0,,,
423433,-1.32,0.24,1.22,0,,,
423437,-1.37,0.2,1.22,0,,,
423441,-1.37,0.2,1.22,0,,,
423446,-1.37,0.2,1.22,0,,,
423450,-1.37,0.2,1.22,0,,,
423454,-1.66,0.15,1.61,0,,,
423459,-1.66,0.15,1.61,0,,,
423463,-1.66,0.15,1.61,0,,,
423468,-1.66,0.15,1.61,0,,,
423472,-2.25,0.15,1.56,0,,,
