millis,a_x, a_y, a_z, g_x, g_y, g_z
807797,0.47,1.7,-9.07,-0.13,0.05,-0.09
807831,0.77,2.1,-10.38,-0.14,0.04,-0.1
807835,1.06,2.28,-10.22,-0.15,0.06,-0.11
807840,1.05,2.22,-10.29,-0.15,0.05,-0.1
807844,1.03,1.75,-10.48,-0.15,0.03,-0.1
807850,1.07,1.59,-10.56,-0.16,0.04,-0.1
807854,0.8,1.26,-10.39,-0.15,0.04,-0.1
807859,0.67,1.06,-10.33,-0.14,0.03,-0.1
807864,0.48,0.84,-10.02,-0.14,0.02,-0.09
807868,0.49,0.69,-10.01,-0.13,0.01,-0.09
807874,0.48,0.55,-10.01,-0.13,0.02,-0.09
807879,0.49,0.5,-9.66,-0.13,0.03,-0.1
807883,0.45,0.47,-9.51,-0.12,0.01,-0.1
807888,0.54,0.56,-9.29,-0.11,0,-0.09
807893,0.52,0.59,-9.43,-0.11,0.01,-0.09
807897,0.6,0.52,-9.28,-0.1,0.01,-0.1
807902,0.78,0.59,-9.08,-0.09,0.01,-0.1
807907,0.79,0.66,-9.14,-0.09,0.01,-0.1
807911,0.8,0.42,-9.13,-0.08,0.01,-0.09
807915,0.76,0.03,-9.58,-0.07,0,-0.09
807920,0.87,-0.3,-9.78,-0.05,0.01,-0.1
807925,0.97,-0.22,-9.49,-0.04,0.02,-0.11
807929,0.78,0.02,-9.97,-0.04,0.01,-0.09
808046,0.79,0.69,-10.38,0.26,-0.07,-0.07
808050,0.76,0.59,-10.14,0.27,-0.07,-0.08
808055,0.93,1.05,-10.28,0.27,-0.07,-0.08
808059,0.82,1.14,-10.08,0.26,-0.07,-0.07
808064,0.94,1.12,-10.09,0.28,-0.08,-0.07
808068,0.89,1.28,-10.14,0.28,-0.07,-0.09
808073,0.95,1.51,-10.08,0.27,-0.06,-0.08
808078,0.97,1.41,-9.73,0.28,-0.07,-0.08
808089,1.23,1.63,-9.81,0.27,-0.06,-0.09
808096,1.31,1.87,-9.57,0.26,-0.05,-0.09
808101,1.32,2,-9.54,0.26,-0.06,-0.1
808109,1.3,1.93,-9.43,0.25,-0.05,-0.1
808114,1.04,1.85,-9.59,0.25,-0.05,-0.09
808118,0.91,1.82,-9.64,0.25,-0.05,-0.1
808123,0.87,1.93,-9.81,0.24,-0.05,-0.1
808127,0.95,1.84,-9.73,0.23,-0.04,-0.11
808132,0.8,1.97,-9.8,0.23,-0.04,-0.11
808136,0.68,2.1,-10.11,0.23,-0.05,-0.11
808141,0.91,2.09,-9.98,0.22,-0.05,-0.11
808147,1.06,2.28,-9.96,0.21,-0.04,-0.12
808151,1,2.32,-9.97,0.2,-0.04,-0.11
808156,1.03,2.27,-10.12,0.2,-0.05,-0.12
808160,1,2.32,-10.09,0.19,-0.04,-0.12
808250,1.21,2.15,-9.97,0.05,-0.01,-0.14
808255,1.13,2.11,-9.94,0.05,-0.01,-0.14
808260,1.11,2.07,-10,0.04,-0.01,-0.13
