millis,a_x,a_y,a_z,f
819578,-0.34,0.64,1.17,0
819583,-0.34,0.64,1.22,0
819587,-0.39,0.73,1.22,0
819591,-0.39,0.73,1.22,0
819596,-0.39,0.73,1.22,0
819600,-0.39,0.73,1.22,0
819604,-0.54,0.73,1.37,0
819609,-0.54,0.73,1.37,0
819613,-0.54,0.73,1.37,0
819617,-0.54,0.73,1.37,0
819622,-0.24,0.68,1.37,0
819626,-0.24,0.68,1.37,0
819630,-0.24,0.68,1.37,0
819635,-0.24,0.68,1.37,0
819639,-0.24,0.68,1.37,0
819643,-0.54,0.68,1.12,0
819647,-0.54,0.68,1.12,0
819652,-0.54,0.68,1.12,0
819656,-0.54,0.68,1.12,0
819660,-0.49,0.68,1.42,0
819665,-0.49,0.68,1.42,0
819669,-0.49,0.68,1.42,0
819673,-0.49,0.68,1.42,0
819678,-0.49,0.68,1.27,0
819682,-0.39,0.68,1.27,0
819686,-0.39,0.68,1.27,0
819691,-0.39,0.68,1.27,0
819695,-0.39,0.68,1.27,0
819699,-0.34,0.83,1.27,0
819704,-0.34,0.83,1.27,0
819708,-0.34,0.83,1.27,0
819712,-0.34,0.83,1.27,0
819717,-0.34,0.73,1.42,0
819721,-0.34,0.73,1.42,0
819725,-0.34,0.73,1.42,0
819730,-0.34,0.73,1.42,0
819734,-0.34,0.73,1.27,0
